rank,url,no_prewarm_s,prewarm_s,delta_prewarm_minus_no_prewarm_s,prewarm_faster
120,://eq,1.484377751,1.422176553,-0.062201198,true
121,://er,1.350600981,1.530868482,0.180267501,false
122,://es,1.433943991,1.382515040,-0.051428951,true
123,://et,1.432916714,1.513087546,0.080170832,false
124,://eu,1.320811299,1.436292025,0.115480726,false
125,://ev,1.464995784,1.470934522,0.005938738,false
126,://ew,1.409615837,1.526016397,0.116400560,false
127,://ex,1.403032098,1.459096730,0.056064632,false
128,://ey,1.332848796,1.487513681,0.154664885,false
129,://ez,1.397387813,1.383804652,-0.013583161,true
130,://fa,1.355530085,1.520417493,0.164887408,false
131,://fb,1.454333613,1.397075748,-0.057257865,true
132,://fc,1.416438633,1.343149853,-0.073288780,true
133,://fd,1.462850554,1.475078160,0.012227606,false
134,://fe,1.332806586,1.488705843,0.155899257,false
135,://ff,1.368848873,1.567928947,0.199080074,false
136,://fg,1.531557044,1.429537118,-0.102019926,true
137,://fh,1.490136357,1.377341048,-0.112795309,true
138,://fi,1.436952950,1.421998010,-0.014954940,true
139,://fj,1.416940505,1.620444293,0.203503788,false
140,://fk,1.328840767,1.625961180,0.297120413,false
141,://fl,1.377374349,1.535436899,0.158062550,false
142,://fm,1.350968654,1.457083784,0.106115130,false
143,://fn,1.417186225,1.406994265,-0.010191960,true
144,://fo,1.369535562,1.460202904,0.090667342,false
145,://fp,1.430732205,1.433805728,0.003073523,false
146,://fq,1.334468563,1.491635352,0.157166789,false
147,://fr,1.372508526,1.376058747,0.003550221,false
148,://fs,1.384003063,1.510328765,0.126325702,false
149,://ft,1.372851115,1.420778708,0.047927593,false
150,://fu,1.430183538,1.395801531,-0.034382007,true
151,://fv,1.456640101,1.369426503,-0.087213598,true
152,://fw,1.379852108,1.547534863,0.167682755,false
153,://fx,1.335768134,1.439058582,0.103290448,false
154,://fy,1.408023135,1.397120239,-0.010902896,true
155,://fz,1.353019532,1.431557985,0.078538453,false
156,://ga,1.335939974,1.405520473,0.069580499,false
157,://gb,1.482837179,1.397974361,-0.084862818,true
158,://gc,1.542638747,1.388287120,-0.154351627,true
159,://gd,1.414859791,1.453323611,0.038463820,false
160,://ge,1.462803198,1.429081552,-0.033721646,true
161,://gf,1.382019372,1.434451690,0.052432318,false
162,://gg,1.409324900,1.463357342,0.054032442,false
163,://gh,1.314687349,1.604598215,0.289910866,false
164,://gi,1.419405704,1.421850575,0.002444871,false
165,://gj,1.369383119,1.452091913,0.082708794,false
166,://gk,1.468538945,1.350168493,-0.118370452,true
167,://gl,1.479364001,1.377885129,-0.101478872,true
168,://gm,1.402638588,1.420880093,0.018241505,false
169,://gn,1.423292587,1.368401556,-0.054891031,true
170,://go,1.328366000,1.431051737,0.102685737,false
171,://gp,1.586493368,1.390554837,-0.195938531,true
172,://hs,1.590763869,1.460854067,-0.129909802,true
173,://gr,1.380724005,1.398331373,0.017607368,false
174,://gs,1.435422370,1.636474241,0.201051871,false
175,://gt,1.609707023,1.522855380,-0.086851643,true
176,://gu,1.508004380,1.404727917,-0.103276463,true
177,://gv,1.360179408,1.355598643,-0.004580765,true
178,://gw,1.381029666,1.391609055,0.010579389,false
179,://gx,1.397265989,1.349766176,-0.047499813,true
180,://gy,1.396957551,1.343364923,-0.053592628,true
181,://gz,1.382938000,1.461420522,0.078482522,false
182,://ha,1.403438033,1.435897918,0.032459885,false
183,://hb,1.352515365,1.406929241,0.054413876,false
184,://hc,1.519979345,1.550717040,0.030737695,false
185,://hd,1.506879367,1.726235929,0.219356562,false
186,://he,1.434148908,1.491739535,0.057590627,false
187,://hf,1.440808344,1.660741908,0.219933564,false
188,://hg,1.348736995,1.463614180,0.114877185,false
189,://hh,1.676409362,1.682563412,0.006154050,false
190,://hi,1.420888361,1.513725860,0.092837499,false
191,://hj,1.562304740,1.404123758,-0.158180982,true
192,://hk,1.547697878,1.434912149,-0.112785729,true
193,://hl,1.339237184,1.516145726,0.176908542,false
194,://hm,1.518138866,1.511445073,-0.006693793,true
195,://hn,1.537391549,1.402708463,-0.134683086,true
196,://ho,1.420870610,1.464853955,0.043983345,false
197,://hp,1.449054112,1.427783323,-0.021270789,true
198,://hq,1.393695404,1.447799318,0.054103914,false
199,://hr,1.394406364,1.627275360,0.232868996,false
